SYSTEMNAME;NAME;DESCRIPTION;UNIT;DATATYPE;SIZE_1;MAINNR;BLOCKNR;BLOCKCNT;SUBBLNR;WGNR;WGIND;UPDATEDBY;QUANTITYGROUP;COMMENT;NORMCODE
CLUTCH_D;EMBR_con;CLU: Position embrayage (simulé);%;Real;1;0;0;0;0;0;0;A;1;Common;1001
RGRAD_D;PENTE_c;REG: Pente de la route cons.;%;Real;0;0;0;0;0;0;0;A;1;Common;1002
dem_vehicl_speed;V_cons;REG: Consigne Vitesse véh.;km/h;Real;1;0;0;0;0;0;0;A;1;Common;1003
V_DEM_F;Vcon_FIL;Vitesse v{h. cons. filtr{e;km/h;Real;1;0;0;0;0;0;0;A;1;Common;1004
dem_brake_force;F_BRAK_d;demand brake force on wheels;N;Real;2;0;0;0;0;0;0;A;1;Common;1005
dem_deceleration;DECEL_d;REG: demand vehicle deceleration;m/s2;Real;2;0;0;0;0;0;0;A;1;Common;1006
dem_steer_angle;STEANG_d;steering angle of steering wheel;°;Real;2;0;0;0;0;0;0;A;1;Common;1007
GEAR_DEM;VIT_cons;DYN: Consigne Rapport de boite;-;Real;0;0;0;0;0;0;0;A;1;Common;1008
T_SET_D;C_reg_F;REG: Cons. Couple frein;Nm;Real;1;0;0;0;0;0;0;A;1;Common;1009
dem_dyno_speed;REG_c_F;REG: Cons. Régime frein;Nm;Real;0;0;0;0;0;0;0;A;1;Common;1010
X_VAL_D;X_VAL_d;REG: free usable ext. dem. value;-;Real;2;0;0;0;0;0;0;A;1;Common;1011
dem_engine_speed;REG_c_M;REG: Cons. Régime moteur;rpm;Real;0;0;0;0;0;0;0;A;1;Common;1012
dem_engin_torque;COU_c_M;REG: Cons. Couple moteur;Nm;Real;1;0;0;0;0;0;0;A;1;Common;1013
dem_dyno_torque;COU_c_F;REG: Cons. Couple  frein;Nm;Real;1;0;0;0;0;0;0;A;1;Common;1014
dem_throttle_pos;POSLEV_c;REG: Cons. Position levier;%;Real;1;0;0;0;0;0;0;A;1;Common;1015
PID1_SET;PID1_REG;PID: Contr.1 eff. dem. quantity;-;Real;2;0;0;0;0;0;0;A;1;Common;1016
